id,label,category
61213649618,Tecnológico de Monterrey Campus Guadalajara,University
195923199514,Tec de Monterrey Campus Aguascalientes,Education
226130625557,Tec de Monterrey Campus San Luis,University
1500340693610646,Tec Review Web,Magazine
1781133445452041,"Ingeniero Mecánico Administrador TEC de Monterrey, Guadalajara",School
924214637636430,"Tecnológico de Monterrey, Campus Chiapas",Education
208966514625,Tecnológico de Monterrey en Toluca,Education
136659463030729,Sistema Nacional de Comunicación del Tecnológico de Monterrey,University
961765523901217,Festival de la Cultura y las Artes del Tecnológico de Monterrey,Education
458456357677041,PROTRASH,Community Organization
160968200582928,Borregos GDL,School Sports Team
119674301521593,Tochito y Americano en imagen,Camera/Photo
115103408384,El Informador,Media/News/Publishing
573553349394917,Yanic Gentry Sailing,Athlete
229696957077165,Prepa Tec Colima,Education
682465328448639,Escuela de Gobierno y Transformación Pública,Education
99158093147,Tec de Monterrey Campus Morelia,University
205095032857458,"Tecnológico de Monterrey, Campus Ciudad de México",Education
61506671531,Siddhartha,Musician/Band
131132106964054,Caloncho,Musician/Band
1444320322459405,Dr. Mario Adrián Flores,Public Figure
534911713219660,Yo por México,Non-Profit Organization
567206813361123,Grupos Estudiantiles Tec Guadalajara,Community
394319110634273,Biblioteca Itesm Campus Gda,Library
283048951715725,Salvador Alva,Public Figure
528582947162730,"Consejo Estudiantil, Tec Campus Guadalajara",Organization
543106212368728,Encuentro por México,Community
241867085852973,Tecnológico de Monterrey Campus Chihuahua,Education
34767149008,Tecnológico de Monterrey,University
24961338115,The Boston Consulting Group (BCG),Consulting/Business Service
1416083275315388,"Lic. en Diseño Industrial TEC de Monterrey, Guadalajara",School
165878254250,Tecnologico de Monterrey Campus Querétaro,University
226380994085115,Tecnológico de Monterrey Campus León,University
203999956301716,"Tecnológico de Monterrey, Campus Sinaloa",Education
309133815849921,Medicina - Tec Campus GDL,University
270577976380974,Prepa Tec Guadalajara,Education
380994871968780,Cumbre Empresarial 2012,Community
349031161842570,Congreso LED Guadalajara,Community
153043694834703,Simposio MedCare ITESM GDA,Community
176233772426218,Media Station,Organization
221461167951955,BiciTec,Community
165929753457385,Cena en la Oscuridad,Cause
119677581444554,Incubadoras Sociales,Education
235122709860671,Programas Internacionales - Prepa Tec GDL,Education
105496182898573,"Boris, el Borrego Salvaje",Public Figure
111205048906987,TecStore,Retail and Consumer Merchandise
228268697257392,RideTec,Community
117098835054439,Tec Campus GDL - Inscripciones,Education
127128043964568,Posgrados y Educación Ejecutiva del Tecnológico de Monterrey,University
260819157288541,Creación y Desarrollo de Empresas Campus GDL,Education
114476891932440,FEDEJAL,Non-Profit Organization
252862098066707,Pasión por la lectura,Education
253590865334,DAE Chihuahua,University
23200868598,Fernando Sierra,Public Figure
343343179776,Ciclovia ITESM Campus GDL,Amateur Sports Team
112836955449317,David Noel Ramírez Padilla,Public Figure
180256032046032,Pasión por la Lectura Campus Guadalajara,Education
16491263634,Incubadora de Empresas ITESM GDL,Product/Service
242977235738688,Carneros Guadalajara,Community Organization
206719826048056,Tecgdaseguro,Education
154466377942872,"Consejo Estudiantil 2011, Campus Guadalajara",Non-Profit Organization
214008825056,Teatro Diana,University
46152322794,Vivir Guadalajara,Society/Culture Website
123139571057628,holala.tv,Attractions/Things to Do
138171956193710,gruposprepa,Community
51491238316,"TECNOLÓGICO DE MONTERREY, Campus Monterrey",University
114325988648006,EXATEC Guadalajara,Community
